associado_id,Frequency,Monetary,Recency,r_quartile,f_quartile,m_quartile,RFMScore,categoria
4396,469,4132.714999999984,0,1,1,1,111,Vip
3626,443,8190.233999999999,0,1,1,1,111,Vip
28015,311,137270.59000000008,0,1,1,1,111,Vip
3437,309,11112.967999999997,0,1,1,1,111,Vip
3420,293,7941.507,0,1,1,1,111,Vip
3264,263,8582.612000000001,0,1,1,1,111,Vip
4026,256,19704.359000000015,0,1,1,1,111,Vip
30606,253,9792.680999999997,0,1,1,1,111,Vip
9713,246,12508.631999999996,5,1,1,1,111,Vip
3486,238,15304.588000000003,0,1,1,1,111,Vip
6138,236,6010.7319999999945,1,1,1,1,111,Vip
5818,234,4517.508999999999,0,1,1,1,111,Vip
4173,221,7342.364999999999,0,1,1,1,111,Vip
11417,217,7964.397999999999,0,1,1,1,111,Vip
341,217,11319.449,20,2,1,1,211,Destaque
3265,213,2532.133000000001,0,1,1,1,111,Vip
3523,213,4231.6669999999995,0,1,1,1,111,Vip
5505,211,13245.858000000006,0,1,1,1,111,Vip
3296,209,21932.548999999988,0,1,1,1,111,Vip
6209,209,1786.2189999999998,0,1,1,1,111,Vip
3287,206,2717.4099999999985,0,1,1,1,111,Vip
1095,205,15499.506999999994,0,1,1,1,111,Vip
4496,200,4406.418999999998,1,1,1,1,111,Vip
19932,199,5974.135999999995,0,1,1,1,111,Vip
6336,198,6580.426999999998,0,1,1,1,111,Vip
501,198,7028.951,0,1,1,1,111,Vip
3058,197,11518.220000000001,0,1,1,1,111,Vip
1445,196,15951.492999999986,0,1,1,1,111,Vip
271,196,22079.214999999986,0,1,1,1,111,Vip
16364,190,4636.705999999997,0,1,1,1,111,Vip
1228,187,3470.8169999999996,0,1,1,1,111,Vip
4454,185,7602.872999999996,0,1,1,1,111,Vip
25813,184,2040.9789999999998,0,1,1,1,111,Vip
19,179,12241.707999999991,56,3,1,1,311,Distante Fiel Valioso
3622,177,5495.007999999996,0,1,1,1,111,Vip
20999,175,32439.318,0,1,1,1,111,Vip
460,174,7583.795999999998,1,1,1,1,111,Vip
5280,171,8246.855999999996,0,1,1,1,111,Vip
26414,170,3722.926999999997,0,1,1,1,111,Vip
5540,169,4144.227000000002,1,1,1,1,111,Vip
